{'DAT': '52540898', 'x': '-0.1652083397', 'y': '3.3448703289', 'z': '-9.6706733704'}
{'DAT': '52540899', 'x': '-0.1676026583', 'y': '3.3376872540', 'z': '-9.6658849716'}
{'DAT': '52540900', 'x': '-0.1747856289', 'y': '3.3400814533', 'z': '-9.6299695969'}
{'DAT': '52540901', 'x': '-0.2178834528', 'y': '3.3640248775', 'z': '-9.5820837021'}
{'DAT': '52540902', 'x': '-0.2202777863', 'y': '3.3855736256', 'z': '-9.5701122284'}
{'DAT': '52540903', 'x': '-0.1939402223', 'y': '3.3759963512', 'z': '-9.6323642731'}
{'DAT': '52540904', 'x': '-0.2250664234', 'y': '3.3783907890', 'z': '-9.6395473480'}
{'DAT': '52540905', 'x': '-0.2107004821', 'y': '3.3736021519', 'z': '-9.6132097244'}
{'DAT': '52540906', 'x': '-0.1819685996', 'y': '3.3568418026', 'z': '-9.6251811981'}
{'DAT': '52540907', 'x': '-0.1915459037', 'y': '3.3496589661', 'z': '-9.6251811981'}
{'DAT': '52540908', 'x': '-0.1867572516', 'y': '3.3783907890', 'z': '-9.6275758743'}
{'DAT': '52540909', 'x': '-0.2035175115', 'y': '3.3688135147', 'z': '-9.6108150482'}
{'DAT': '52540910', 'x': '-0.1987288743', 'y': '3.2969837189', 'z': '-9.5677175522'}
{'DAT': '52540911', 'x': '-0.1747856289', 'y': '3.3065609932', 'z': '-9.6012382507'}
{'DAT': '52540912', 'x': '-0.1915459037', 'y': '3.3736021519', 'z': '-9.6299695969'}
{'DAT': '52540913', 'x': '-0.2107004821', 'y': '3.3855736256', 'z': '-9.6084213257'}
{'DAT': '52540914', 'x': '-0.1939402223', 'y': '3.3544476032', 'z': '-9.6419420242'}
{'DAT': '52540915', 'x': '-0.1723913103', 'y': '3.3400814533', 'z': '-9.6634902954'}
{'DAT': '52540916', 'x': '-0.1819685996', 'y': '3.3592362404', 'z': '-9.6802511215'}
{'DAT': '52540917', 'x': '-0.1891515702', 'y': '3.3424758911', 'z': '-9.6778564453'}
{'DAT': '52540918', 'x': '-0.1819685996', 'y': '3.3424758911', 'z': '-9.6610965729'}
{'DAT': '52540919', 'x': '-0.1915459037', 'y': '3.3664190769', 'z': '-9.6706733704'}
{'DAT': '52540920', 'x': '-0.1915459037', 'y': '3.3448703289', 'z': '-9.6610965729'}
{'DAT': '52540921', 'x': '-0.1891515702', 'y': '3.3328986168', 'z': '-9.6323642731'}
{'DAT': '52540922', 'x': '-0.1891515702', 'y': '3.3951508999', 'z': '-9.6610965729'}
{'DAT': '52540923', 'x': '-0.1723913103', 'y': '3.3903622627', 'z': '-9.6443357468'}
{'DAT': '52540924', 'x': '-0.2107004821', 'y': '3.3688135147', 'z': '-9.5892667770'}
{'DAT': '52540925', 'x': '-0.2083061635', 'y': '3.3736021519', 'z': '-9.5988435745'}
{'DAT': '52540926', 'x': '-0.1652083397', 'y': '3.3448703289', 'z': '-9.5916604996'}
{'DAT': '52540927', 'x': '-0.1723913103', 'y': '3.3472645283', 'z': '-9.6299695969'}
{'DAT': '52540928', 'x': '-0.1532367170', 'y': '3.3496589661', 'z': '-9.6874332428'}
{'DAT': '52540929', 'x': '-0.1484480649', 'y': '3.3472645283', 'z': '-9.6587018967'}
{'DAT': '52540930', 'x': '-0.1676026583', 'y': '3.3712077141', 'z': '-9.6227865219'}
{'DAT': '52540931', 'x': '-0.1891515702', 'y': '3.3903622627', 'z': '-9.6275758743'}
{'DAT': '52540932', 'x': '-0.1795742810', 'y': '3.3759963512', 'z': '-9.6323642731'}
{'DAT': '52540933', 'x': '-0.1795742810', 'y': '3.3448703289', 'z': '-9.6371526718'}
{'DAT': '52540934', 'x': '-0.1915459037', 'y': '3.3424758911', 'z': '-9.6323642731'}
{'DAT': '52540935', 'x': '-0.1795742810', 'y': '3.3640248775', 'z': '-9.6012382507'}
{'DAT': '52540936', 'x': '-0.2059118450', 'y': '3.3616304398', 'z': '-9.5892667770'}
{'DAT': '52540937', 'x': '-0.2083061635', 'y': '3.3736021519', 'z': '-9.6467304230'}
{'DAT': '52540938', 'x': '-0.1747856289', 'y': '3.3927567005', 'z': '-9.6467304230'}
{'DAT': '52540939', 'x': '-0.1723913103', 'y': '3.3640248775', 'z': '-9.5725059509'}
{'DAT': '52540940', 'x': '-0.1771799475', 'y': '3.3424758911', 'z': '-9.5892667770'}
{'DAT': '52540941', 'x': '-0.1676026583', 'y': '3.3209269047', 'z': '-9.6491241455'}
{'DAT': '52540942', 'x': '-0.1891515702', 'y': '3.3089554310', 'z': '-9.6730680466'}
{'DAT': '52540943', 'x': '-0.2035175115', 'y': '3.3233213425', 'z': '-9.6395473480'}
{'DAT': '52540944', 'x': '-0.1915459037', 'y': '3.3113496304', 'z': '-9.6371526718'}
{'DAT': '52540945', 'x': '-0.2035175115', 'y': '3.3472645283', 'z': '-9.6515188217'}
